2025-02-02 08:06:30 INFO  LoggingFilter:35 - *****InValid Login Test Case Started *****
2025-02-02 08:06:37 INFO  LoggingFilter:21 - *****Valid Login Test Case Started *****
2025-02-02 08:06:38 INFO  LoggingFilter:30 - *****Valid Login Test Case Finished *****
2025-02-02 08:06:38 INFO  LoggingFilter:34 - *****InValid Registration Test Case Started *****
2025-02-02 08:06:38 INFO  LoggingFilter:44 - *****InValid Registration Test Case Finished *****
2025-02-02 08:06:38 INFO  LoggingFilter:16 - *****Valid Registration Test Case Started *****
2025-02-02 08:06:39 INFO  LoggingFilter:29 - *****Valid Registration Test Case Finished *****
2025-02-02 08:06:39 INFO  LoggingFilter:46 - *****deleteSingleUser TestCase Started *****
2025-02-02 08:06:39 INFO  LoggingFilter:53 - *****deleteSingleUser TestCase Finished *****
2025-02-02 08:06:39 INFO  LoggingFilter:17 - *****getSingleUser TestCase Started *****
2025-02-02 08:06:39 INFO  LoggingFilter:25 - *****getSingleUser TestCase Finished *****
2025-02-02 08:06:39 INFO  LoggingFilter:30 - *****updateSingleUser TestCase Started *****
2025-02-02 08:06:40 INFO  LoggingFilter:41 - *****updateSingleUser TestCase Finished *****
